,date_time,status,similarity,images_found
0,2024-11-09 18:47:44.903986,РїРѕР»РЅС‹Р№,0.67359775,"['05a645fddf7578ef.jpg', '07b7614fa61138ed.jpg', '07ebbcabb2a333c0.jpg', '0b812313d0db8d43.jpg', '0d174dec515fa6c1.jpg', '163cab4b6688ef74.jpg', '189bf6eab7ce74cf.jpg', '203b42e737e4726e.jpg', '27b264c47d4add22.jpg', '36f9fc08664c736b.jpg', '3ad32ead55d6aa5c.jpg', '5136aaa3a5bb3f82.jpg', '58dde46f0c26f65a.jpg', '5b2b3bd93d70c165.jpg', '5c8012d00ff02532.jpg', '6df24414ed4ed4ef.jpg', '72de6a7242b36804.jpg', '7a863728c21d5728.jpg', '7fd56d5c402753e6.jpg', '8a81381692fb077f.jpg']"
0,2024-11-09 18:48:46.773444,РїРѕР»РЅС‹Р№,0.67359775,"['05a645fddf7578ef.jpg', '07b7614fa61138ed.jpg', '07ebbcabb2a333c0.jpg', '0b812313d0db8d43.jpg', '0d174dec515fa6c1.jpg', '163cab4b6688ef74.jpg', '189bf6eab7ce74cf.jpg', '203b42e737e4726e.jpg', '27b264c47d4add22.jpg', '36f9fc08664c736b.jpg', '3ad32ead55d6aa5c.jpg', '5136aaa3a5bb3f82.jpg', '58dde46f0c26f65a.jpg', '5b2b3bd93d70c165.jpg', '5c8012d00ff02532.jpg', '6df24414ed4ed4ef.jpg', '72de6a7242b36804.jpg', '7a863728c21d5728.jpg', '7fd56d5c402753e6.jpg', '8a81381692fb077f.jpg']"
0,2024-11-09 18:51:35.610196,РЅРµРїРѕР»РЅС‹Р№,0,[]
0,2024-11-09 18:53:20.624181,РїРѕР»РЅС‹Р№,0.67359775,"['05a645fddf7578ef.jpg', '07b7614fa61138ed.jpg', '07ebbcabb2a333c0.jpg', '0b812313d0db8d43.jpg', '0d174dec515fa6c1.jpg', '163cab4b6688ef74.jpg', '189bf6eab7ce74cf.jpg', '203b42e737e4726e.jpg', '27b264c47d4add22.jpg', '36f9fc08664c736b.jpg', '3ad32ead55d6aa5c.jpg', '5136aaa3a5bb3f82.jpg', '58dde46f0c26f65a.jpg', '5b2b3bd93d70c165.jpg', '5c8012d00ff02532.jpg', '6df24414ed4ed4ef.jpg', '72de6a7242b36804.jpg', '7a863728c21d5728.jpg', '7fd56d5c402753e6.jpg', '8a81381692fb077f.jpg']"
0,2024-11-09 18:58:55.918662,РЅРµРїРѕР»РЅС‹Р№,0.6255207,['c07d8dc8545a12a3.jpg']
0,2024-11-09 19:01:55.388973,РЅРµРїРѕР»РЅС‹Р№,0,[]
0,2024-11-09 19:02:18.840667,РЅРµРїРѕР»РЅС‹Р№,0,[]
0,2024-11-09 19:02:18.884244,РЅРµРїРѕР»РЅС‹Р№,0,[]
0,2024-11-09 19:02:20.225498,РЅРµРїРѕР»РЅС‹Р№,0,[]
0,2024-11-09 19:02:20.624443,РЅРµРїРѕР»РЅС‹Р№,0,[]
0,2024-11-09 19:05:04.608047,РЅРµРїРѕР»РЅС‹Р№,0,[]
0,2024-11-09 20:17:18.483011,РЅРµРїРѕР»РЅС‹Р№,0,[]
0,2024-11-09 20:19:01.274456,РЅРµРїРѕР»РЅС‹Р№,0.55899197,"['0a509e8b12b8529e.jpg', '2942a1b5ea91f011.jpg', '51b219a106194c41.jpg']"
2024-11-09 20:33:16,неполный,0,
2024-11-09 20:34:34,неполный,0,
2024-11-09 20:35:04,неполный,0,
2024-11-09 20:35:59,неполный,0.5075922,c0d3c546f8f2d01a.jpg
2024-11-09 20:37:15,неполный,0,
2024-11-09 20:38:44,неполный,0.6296195,1506ee391176992a.jpg, 554ff2890df88ca8.jpg, 5854fa8cb2dc1f1b.jpg, 7291acd57ebe65b6.jpg, S600xU_2x.webp
2024-11-09 20:40:59,неполный,0.6296195,1506ee391176992a.jpg, 554ff2890df88ca8.jpg, 5854fa8cb2dc1f1b.jpg, 7291acd57ebe65b6.jpg, S600xU_2x.webp
2024-11-09 21:00:53,неполный,0.66343033,1506ee391176992a.jpg, 7291acd57ebe65b6.jpg, S600xU_2x.webp
2024-11-09 21:02:47,неполный,0.60373455,029524bb3c0a5ac4.jpg, 1506ee391176992a.jpg, 554ff2890df88ca8.jpg, 5854fa8cb2dc1f1b.jpg, 7291acd57ebe65b6.jpg, 8671fc9ecb53f004.jpg, S600xU_2x.webp
2024-11-09 21:55:15,неполный,0.60373455,029524bb3c0a5ac4.jpg, 1506ee391176992a.jpg, 554ff2890df88ca8.jpg, 5854fa8cb2dc1f1b.jpg, 7291acd57ebe65b6.jpg, 8671fc9ecb53f004.jpg, S600xU_2x.webp
2024-11-09 22:00:51,неполный,0.60373455,029524bb3c0a5ac4.jpg, 1506ee391176992a.jpg, 554ff2890df88ca8.jpg, 5854fa8cb2dc1f1b.jpg, 7291acd57ebe65b6.jpg, 8671fc9ecb53f004.jpg, S600xU_2x.webp
2024-11-09 22:01:43,неполный,0.60373455,029524bb3c0a5ac4.jpg, 1506ee391176992a.jpg, 554ff2890df88ca8.jpg, 5854fa8cb2dc1f1b.jpg, 7291acd57ebe65b6.jpg, 8671fc9ecb53f004.jpg, S600xU_2x.webp
2024-11-09 22:03:26,неполный,0.60373455,029524bb3c0a5ac4.jpg, 1506ee391176992a.jpg, 554ff2890df88ca8.jpg, 5854fa8cb2dc1f1b.jpg, 7291acd57ebe65b6.jpg, 8671fc9ecb53f004.jpg, S600xU_2x.webp
2024-11-09 22:37:00,неполный,0.56895036,029524bb3c0a5ac4.jpg, 1506ee391176992a.jpg, 554ff2890df88ca8.jpg, 5854fa8cb2dc1f1b.jpg, 7291acd57ebe65b6.jpg
2024-11-09 22:40:31,неполный,0.56895036,029524bb3c0a5ac4.jpg, 1506ee391176992a.jpg, 554ff2890df88ca8.jpg, 5854fa8cb2dc1f1b.jpg, 7291acd57ebe65b6.jpg
2024-11-09 22:46:35,неполный,0.56895036,029524bb3c0a5ac4.jpg, 1506ee391176992a.jpg, 554ff2890df88ca8.jpg, 5854fa8cb2dc1f1b.jpg, 7291acd57ebe65b6.jpg
2024-11-09 22:50:38,неполный,0,
2024-11-09 22:53:15,неполный,0.56895036,029524bb3c0a5ac4.jpg, 1506ee391176992a.jpg, 5854fa8cb2dc1f1b.jpg, 554ff2890df88ca8.jpg, 7291acd57ebe65b6.jpg
2024-11-09 22:54:01,неполный,0.56895036,029524bb3c0a5ac4.jpg, 1506ee391176992a.jpg, 554ff2890df88ca8.jpg, 5854fa8cb2dc1f1b.jpg, 7291acd57ebe65b6.jpg
2024-11-09 22:54:39,неполный,0.56895036,029524bb3c0a5ac4.jpg, 1506ee391176992a.jpg, 5854fa8cb2dc1f1b.jpg, 554ff2890df88ca8.jpg, 7291acd57ebe65b6.jpg
2024-11-09 23:10:01,неполный,0.56895036,029524bb3c0a5ac4.jpg, 1506ee391176992a.jpg, 554ff2890df88ca8.jpg, 5854fa8cb2dc1f1b.jpg, 7291acd57ebe65b6.jpg
2024-11-09 23:13:11,неполный,0.56895036,029524bb3c0a5ac4.jpg, 1506ee391176992a.jpg, 5854fa8cb2dc1f1b.jpg, 554ff2890df88ca8.jpg, 7291acd57ebe65b6.jpg
2024-11-09 23:17:36,неполный,0.56895036,029524bb3c0a5ac4.jpg, 1506ee391176992a.jpg, 554ff2890df88ca8.jpg, 5854fa8cb2dc1f1b.jpg, 7291acd57ebe65b6.jpg
2024-11-09 23:29:38,неполный,0.56895036,029524bb3c0a5ac4.jpg, 1506ee391176992a.jpg, 5854fa8cb2dc1f1b.jpg, 554ff2890df88ca8.jpg, 7291acd57ebe65b6.jpg
